"agency_cd","site_no","dateTime","tz_cd","X_99988_00011_cd","X_99988_00011"
"USGS","01474500",2015-04-27 04:00:00,"UTC","P",3
"USGS","01474500",2015-04-27 04:30:00,"UTC","P",3
"USGS","01474500",2015-04-27 05:00:00,"UTC","P",0
"USGS","01474500",2015-04-27 05:30:00,"UTC","P",0
"USGS","01474500",2015-04-27 06:00:00,"UTC","P",0
"USGS","01474500",2015-04-27 06:30:00,"UTC","P",5
"USGS","01474500",2015-04-27 07:00:00,"UTC","P",-3
"USGS","01474500",2015-04-27 07:30:00,"UTC","P",5
"USGS","01474500",2015-04-27 08:00:00,"UTC","P",3
"USGS","01474500",2015-04-27 08:30:00,"UTC","P",5
"USGS","01474500",2015-04-27 09:00:00,"UTC","P",8
"USGS","01474500",2015-04-27 09:30:00,"UTC","P",3
"USGS","01474500",2015-04-27 10:00:00,"UTC","P",0
"USGS","01474500",2015-04-27 10:30:00,"UTC","P",38
"USGS","01474500",2015-04-27 11:00:00,"UTC","P",110
"USGS","01474500",2015-04-27 11:30:00,"UTC","P",255
"USGS","01474500",2015-04-27 12:00:00,"UTC","P",617
"USGS","01474500",2015-04-27 12:30:00,"UTC","P",480
"USGS","01474500",2015-04-27 13:00:00,"UTC","P",1580
"USGS","01474500",2015-04-27 13:30:00,"UTC","P",934
"USGS","01474500",2015-04-27 14:00:00,"UTC","P",896
"USGS","01474500",2015-04-27 14:30:00,"UTC","P",883
"USGS","01474500",2015-04-27 15:00:00,"UTC","P",1260
"USGS","01474500",2015-04-27 15:30:00,"UTC","P",1660
"USGS","01474500",2015-04-27 16:00:00,"UTC","P",1330
"USGS","01474500",2015-04-27 16:30:00,"UTC","P",735
"USGS","01474500",2015-04-27 17:00:00,"UTC","P",743
"USGS","01474500",2015-04-27 17:30:00,"UTC","P",636
"USGS","01474500",2015-04-27 18:00:00,"UTC","P",625
"USGS","01474500",2015-04-27 18:30:00,"UTC","P",274
"USGS","01474500",2015-04-27 19:00:00,"UTC","P",352
"USGS","01474500",2015-04-27 19:30:00,"UTC","P",432
"USGS","01474500",2015-04-27 20:00:00,"UTC","P",856
"USGS","01474500",2015-04-27 20:30:00,"UTC","P",448
"USGS","01474500",2015-04-27 21:00:00,"UTC","P",357
"USGS","01474500",2015-04-27 21:30:00,"UTC","P",397
"USGS","01474500",2015-04-27 22:00:00,"UTC","P",287
"USGS","01474500",2015-04-27 22:30:00,"UTC","P",174
"USGS","01474500",2015-04-27 23:00:00,"UTC","P",94
"USGS","01474500",2015-04-27 23:30:00,"UTC","P",35
"USGS","01474500",2015-04-28 00:00:00,"UTC","P",5
"USGS","01474500",2015-04-28 00:30:00,"UTC","P",5
"USGS","01474500",2015-04-28 01:00:00,"UTC","P",8
"USGS","01474500",2015-04-28 01:30:00,"UTC","P",5
"USGS","01474500",2015-04-28 02:00:00,"UTC","P",0
"USGS","01474500",2015-04-28 02:30:00,"UTC","P",8
"USGS","01474500",2015-04-28 03:00:00,"UTC","P",0
"USGS","01474500",2015-04-28 03:30:00,"UTC","P",8
"USGS","01474500",2015-04-28 04:00:00,"UTC","P",-3
"USGS","01474500",2015-04-28 04:30:00,"UTC","P",5
"USGS","01474500",2015-04-28 05:00:00,"UTC","P",11
"USGS","01474500",2015-04-28 05:30:00,"UTC","P",5
"USGS","01474500",2015-04-28 06:00:00,"UTC","P",5
"USGS","01474500",2015-04-28 06:30:00,"UTC","P",5
"USGS","01474500",2015-04-28 07:00:00,"UTC","P",8
"USGS","01474500",2015-04-28 07:30:00,"UTC","P",3
"USGS","01474500",2015-04-28 08:00:00,"UTC","P",8
"USGS","01474500",2015-04-28 08:30:00,"UTC","P",-5
"USGS","01474500",2015-04-28 09:00:00,"UTC","P",0
"USGS","01474500",2015-04-28 09:30:00,"UTC","P",-3
"USGS","01474500",2015-04-28 10:00:00,"UTC","P",13
"USGS","01474500",2015-04-28 10:30:00,"UTC","P",89
"USGS","01474500",2015-04-28 11:00:00,"UTC","P",252
"USGS","01474500",2015-04-28 11:30:00,"UTC","P",470
"USGS","01474500",2015-04-28 12:00:00,"UTC","P",706
"USGS","01474500",2015-04-28 12:30:00,"UTC","P",910
"USGS","01474500",2015-04-28 13:00:00,"UTC","P",1140
"USGS","01474500",2015-04-28 13:30:00,"UTC","P",1370
"USGS","01474500",2015-04-28 14:00:00,"UTC","P",357
"USGS","01474500",2015-04-28 14:30:00,"UTC","P",550
"USGS","01474500",2015-04-28 15:00:00,"UTC","P",1840
"USGS","01474500",2015-04-28 15:30:00,"UTC","P",1970
"USGS","01474500",2015-04-28 16:00:00,"UTC","P",2180
"USGS","01474500",2015-04-28 16:30:00,"UTC","P",2150
"USGS","01474500",2015-04-28 17:00:00,"UTC","P",2280
"USGS","01474500",2015-04-28 17:30:00,"UTC","P",2140
"USGS","01474500",2015-04-28 18:00:00,"UTC","P",606
"USGS","01474500",2015-04-28 18:30:00,"UTC","P",655
"USGS","01474500",2015-04-28 19:00:00,"UTC","P",1770
"USGS","01474500",2015-04-28 19:30:00,"UTC","P",507
"USGS","01474500",2015-04-28 20:00:00,"UTC","P",427
"USGS","01474500",2015-04-28 20:30:00,"UTC","P",411
"USGS","01474500",2015-04-28 21:00:00,"UTC","P",1100
"USGS","01474500",2015-04-28 21:30:00,"UTC","P",800
"USGS","01474500",2015-04-28 22:00:00,"UTC","P",582
"USGS","01474500",2015-04-28 22:30:00,"UTC","P",150
"USGS","01474500",2015-04-28 23:00:00,"UTC","P",72
